stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
360 ONE WAM Ltd.,13.95,46.29,73.25,29.04,18.09,13.66,46.36,72.41,28.36,17.57,14.32,47.36,74.18,23.5,19.48,66.09,273.47,276.47,266.81,262.68,66.09,273.47,276.47,266.81,262.68,34.5,55,30,60,5,3.14,10.02,15.68,24.81,0.57,16.55,57.46,79.91,38.83,6.57,16.16,56.19,78.6,37.52,5.05,14.48,51.21,75.74,32.04,3.33,13.92,46.09,72.86,22.19,17.96,526.43,573.36,509.73,156.52,"1,156.13",513.81,560.69,501.34,151.25,887.7,460.54,511,483.09,129.15,586.26,442.84,459.85,464.77,89.46,"3,158.19",21.06,16.85,26.35,8.31,6.83,24.15,15.53,25.77,13.97,1.9,12.24,9.9,23.66,7.68,5.68,0.52,0.31,0.1,0,0.19,0.03,0.03,5.09,8.58,0.18,2.23,4.14,93.26,12.36,5.49,2.23,4.14,93.26,12.36,5.49,0,0,0,0,0,0,118.81,95.68,89.93,55.86,0,115.63,93.98,84.93,51.48,0,-18.81,4.32,10.07,44.14,0,-15.63,6.02,15.07,48.52,"16,426.12","15,502.77","10,992.61","8,582.41",0,146.7,174.37,79.78,39.69,0,27.87,30.41,15.65,25.35,0,137.02,166.76,79.09,39.79,0,0,-18.81,4.31,10.06,44.13,6.52,6.11,4.49,3.7,0,137.03,166.76,79.09,39.8,0,0.03,0.03,0.06,0.02,0
Bandhan Bank Ltd.,"1,362.00",0.78,13.7,18.78,16.36,"1,362.00",0.78,13.69,18.76,16.34,13.62,1.46,14.33,19.28,17.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62,0.78,13.69,18.78,16.36,,,,,,,,,,,,,,,,13.79,0.9,17.6,27.77,29.37,,,,,,,,,,,1.4,0.09,1.91,3.29,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,-28.04,100,100,92.63,,,,,,,,,,,,,,,
BASF India Ltd.,93.1,137.4,127.7,4.3,18.9,93.1,137.4,127.7,4.3,18.9,135.13,176.81,167.83,45.87,52.86,623.97,539.64,412.6,320.17,326.38,623.97,539.64,412.6,320.17,326.38,8,6,10,3,5,"3,151.95","3,026.04","2,207.98","1,744.29","1,391.93",167.26,216.08,150,69.43,41.12,125.2,176.68,109.83,27.84,7.14,125.53,175.54,194.03,1.07,16.6,93.07,137.41,127.65,4.28,18.88,5.3,7.14,6.79,3.98,2.95,3.97,5.83,4.97,1.59,0.51,3.98,5.8,8.78,0.06,1.19,2.95,4.54,5.78,0.24,1.35,14.91,25.46,30.93,1.33,5.78,18.99,30.89,24.4,7,1.73,6.13,9.73,10.74,0.4,2.12,0,0,0,0.35,0.62,2.15,2.33,185.81,164.55,156.45,1.47,1.37,1.27,1.17,1.26,0.87,0.83,0.79,0.65,0.68,2.27,2.23,6.22,5.05,4.97,0,7.27,2.35,116.9,15.89,0,5.65,1.78,10.89,5.67,0,92.73,97.65,-16.9,84.11,0,94.35,98.22,89.11,94.33,"9,498.38","13,225.93","8,803.28","5,267.82","7,243.54",0.7,1.01,0.92,0.7,1.2,13.12,14.14,13.56,17.53,40.69,0.72,1.02,0.94,0.64,1.06,0,92.72,97.64,-16.9,84.1,3.65,5.72,5.03,3.51,4.52,0.72,1.02,0.94,0.64,1.06,0.04,0.04,0.06,0,0.01
Bank of Maharashtra,3.87,1.72,0.88,0.67,-14.26,3.87,1.72,0.88,0.67,-14.26,4.26,2.11,1.13,1.03,-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,1.71,0.84,0.67,-17.38,,,,,,,,,,,,,,,,16.36,8.84,4.63,3.38,-44.09,,,,,,,,,,,0.97,0.49,0.27,0.23,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.37,70.77,100,100,100,,,,,,,,,,,,,,,
Bata India Ltd.,24.83,7.85,-7.02,25.44,25.65,24.83,7.85,-7.02,25.44,25.65,47.76,26.67,13.57,48.45,30.63,111.56,141.15,136.92,147.56,135.89,111.56,141.15,136.92,147.56,135.89,13.5,54.5,4,4,6.25,268.55,185.77,132.83,237.57,227.84,64.44,36.69,19.85,69.91,42.47,41.51,17.87,-0.74,46.9,37.49,33.12,10.65,-9.16,37.74,37.21,24.83,7.85,-7.02,25.44,25.65,23.99,19.75,14.94,29.42,18.63,15.45,9.61,-0.55,19.74,16.45,12.33,5.73,-6.89,15.88,16.33,9.24,4.22,-5.28,10.7,11.25,22.25,5.56,-5.13,17.23,18.87,21.83,8.48,-0.36,20.54,26.05,9.77,2.86,-2.7,8.75,13.3,0,0,0,0,0,1.02,0.7,51.2,81.75,118.14,1.95,2.44,2.61,2.5,2.92,0.85,1.38,1.75,1.41,1.59,0.29,0.34,2.81,3.49,3.49,0,50.95,-56.94,24.57,15.59,0,14.99,29.47,12.9,13.05,0,49.05,156.94,75.43,84.41,0,85.01,70.53,87.1,86.95,"17,714.93","24,251.73","16,960.12","14,861.37","17,264.17",5.13,10.16,9.93,4.87,5.9,21.39,51.43,66.46,16.54,31.63,5.28,10.56,10.57,5.18,6.18,0,49.04,156.94,75.42,84.4,12.72,13.9,10.26,8.34,10.37,5.28,10.56,10.57,5.18,6.18,0.02,0,-0.01,0.02,0.02
Bank Of India,9.8,8.84,6.59,-9.1,-29.79,9.8,8.84,6.59,-9.1,-29.79,10.83,9.18,7.73,-7.85,-18.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,8.3,6.59,-9.02,-20.1,,,,,,,,,,,,,,,,8.44,8.94,5.32,-6.98,-13.6,,,,,,,,,,,0.49,0.46,0.29,-0.45,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.59,100,100,100,100,,,,,,,,,,,,,,,
Bank Of Baroda,27.28,14.06,1.78,1.36,1.64,27.28,14.06,1.78,1.36,1.41,31.03,16.73,4.14,4.77,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.25,14.05,1.6,1.18,1.63,,,,,,,,,,,,,,,,15.74,10.4,1.17,0.71,0.87,,,,,,,,,,,0.96,0.56,0.07,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.84,79.73,100,100,100,,,,,,,,,,,,,,,
Bajaj Holdings & Investment Ltd.,153.8,146.5,17.8,164.1,70.8,153.8,146.5,17.8,164.1,70.8,156.66,149.36,20.69,166.99,71.19,"1,407.61","1,382.68","1,259.48",960.78,987.46,"1,407.61","1,382.68","1,259.48",960.78,987.46,123,115,40,40,32.5,168.49,159.62,33.02,194.43,89.28,163.32,155.99,31.04,187.99,82.1,160.46,153.14,28.19,185.16,81.74,159.84,152.85,27.85,184.03,81.74,153.79,146.51,17.84,164.15,70.82,96.93,97.72,93.99,96.68,91.95,95.23,95.93,85.37,95.23,91.54,94.86,95.75,84.33,94.65,91.54,91.27,91.78,54.04,84.42,79.32,10.92,10.59,1.41,17.08,7.17,11.03,10.7,2.18,19.23,8.26,10.48,10.14,1.36,16.71,7.13,0,0,0,0,0,0.12,0.12,0.03,19.8,8.99,119.16,101.23,82.79,49.62,292.69,119.16,101.23,82.79,49.62,292.69,0,0,0,0,0,0,88.73,0,44.16,56.48,0,87.03,0,43.41,56.18,0,11.27,0,55.84,43.52,0,12.97,0,56.59,43.82,"65,843.54","55,863.87","36,613.71","19,996.95","38,029.47",35.11,31.45,99.64,9.24,38.27,36.22,32.18,106.01,9.56,41.62,35.13,31.46,99.71,9.26,38.28,0,11.26,0,55.83,43.51,4.21,3.63,2.61,1.87,3.46,35.13,31.46,99.71,9.26,38.28,0.03,0.03,0.01,0.09,0.02
Balaji Amines Ltd.,70.18,95.04,71.51,35.11,36.44,70.18,95.04,71.51,35.11,36.44,79.88,104.04,78.72,42.57,42.48,432.19,368.01,276.97,206.06,177.46,432.19,368.01,276.97,206.06,177.46,10,6,4,3.2,2.8,532.79,591.97,378.93,283.65,293.15,104.74,141.77,104.52,58.65,61.3,95.09,132.77,97.31,51.19,55.27,94.25,130.59,95.67,47.44,51.25,70.23,95.04,71.51,35.11,36.44,19.65,23.94,27.58,20.67,20.91,17.84,22.42,25.68,18.04,18.85,17.68,22.06,25.24,16.72,17.48,13.18,16.05,18.87,12.37,12.43,16.24,25.82,25.82,17.03,20.53,21.05,31.45,28.87,18.8,24.17,14.66,18.12,17.93,10.29,11.84,0,0,0,0.15,0.16,1.06,1.28,95.04,83.21,95.24,8.77,2.47,2.43,1.77,1.54,5.74,1.85,1.95,1.35,0.99,4.32,7.54,12.8,9.97,6.66,0,4.2,0,7.4,7.13,0,3.84,0,6.1,6.12,0,95.8,0,92.6,92.87,0,96.16,0,93.9,93.88,"6,133.26","9,355.13","5,694.15",908.2,"1,659.20",3.55,4.88,4.64,0.99,1.75,18.07,20.37,16.81,4.78,8.35,3.65,4.9,4.65,0.88,1.67,0,95.79,0,92.59,92.86,4.49,7.89,6.36,1.22,2.76,3.65,4.9,4.65,0.88,1.67,0.04,0.03,0.04,0.14,0.07
Balrampur Chini Mills Ltd.,13.51,24.86,22.01,22.98,24.98,13.51,24.86,22.01,22.98,24.98,20.08,30.8,27.7,27.76,29.18,142.53,135.18,122.09,107.75,91.17,142.53,135.18,122.09,107.75,91.17,2.5,2.5,2.5,2.5,2.5,231.27,237.5,229.13,215.51,187.61,28.51,36.64,35.58,32.75,32.04,22.09,31.06,30.26,28.14,27.84,19.68,32.13,28.39,25.22,26.05,13.66,25.22,22.37,23.15,24.98,12.32,15.42,15.53,15.19,17.07,9.55,13.07,13.2,13.05,14.83,8.5,13.52,12.38,11.7,13.88,5.9,10.62,9.76,10.74,13.31,9.58,18.65,18.32,21.48,27.39,12.96,21.21,22.14,22.46,25.72,5.1,11.49,10.29,10.72,12.25,0.65,0.44,0.44,0.59,0.8,0.94,1.07,105.47,99.86,92.03,1.31,1.6,1.63,1.46,1.37,0.13,0.12,0.22,0.31,0.31,1.51,1.42,2.02,2.07,1.85,0,9.91,11.17,10.79,10,0,8.11,9.02,9,8.56,0,90.09,88.83,89.21,90,0,91.89,90.98,91,91.44,"9,855.99","11,202.27","5,636.34","3,681.20","4,789.44",2.11,2.31,1.17,0.78,1.12,17.14,14.98,7.54,5.11,6.54,1.71,2.06,0.94,0.48,0.73,0,90.08,88.82,89.2,89.99,2.78,3.62,1.76,0.96,1.5,1.71,2.06,0.94,0.48,0.73,0.03,0.05,0.1,0.22,0.18
